zip,lat,lng,city,state_id
06390,41.27027,-71.98886,Fishers Island,NY
10001,40.75064,-73.99728,New York,NY
10002,40.71597,-73.98692,New York,NY
10003,40.73184,-73.98915,New York,NY
10004,40.69431,-74.01835,New York,NY
10005,40.70614,-74.00862,New York,NY
10006,40.70949,-74.01306,New York,NY
10007,40.71387,-74.00792,New York,NY
10009,40.72639,-73.97865,New York,NY
10010,40.73899,-73.98243,New York,NY
10011,40.74173,-74.00037,New York,NY
10012,40.7256,-73.99794,New York,NY
10013,40.72001,-74.00472,New York,NY
10014,40.73407,-74.00601,New York,NY
10016,40.74515,-73.97807,New York,NY
10017,40.75235,-73.9726,New York,NY
10018,40.75536,-73.99265,New York,NY
10019,40.76586,-73.9853,New York,NY
10020,40.75917,-73.98071,New York,NY
10021,40.76963,-73.95899,New York,NY
10022,40.75856,-73.96787,New York,NY
10023,40.77464,-73.97836,New York,NY
10024,40.78534,-73.97138,New York,NY
10025,40.79825,-73.96831,New York,NY
10026,40.80302,-73.95348,New York,NY
10027,40.81187,-73.95459,New York,NY
10028,40.77643,-73.95339,New York,NY
10029,40.79265,-73.94788,New York,NY
10030,40.81826,-73.94283,New York,NY
10031,40.82485,-73.95023,New York,NY
10032,40.839,-73.94282,New York,NY
10033,40.84744,-73.93549,New York,NY
10034,40.86749,-73.92358,New York,NY
10035,40.79538,-73.92965,New York,NY
10036,40.75976,-73.99064,New York,NY
10037,40.81302,-73.93776,New York,NY
10038,40.70914,-74.00298,New York,NY
10039,40.82631,-73.93752,New York,NY
10040,40.85807,-73.9296,New York,NY
10044,40.76209,-73.94981,New York,NY
10065,40.76472,-73.96332,New York,NY
10069,40.77752,-73.98875,New York,NY
10075,40.77342,-73.95642,New York,NY
10103,40.76078,-73.97767,New York,NY
10110,40.7545,-73.98226,New York,NY
10111,40.75953,-73.97858,New York,NY
10112,40.75891,-73.97904,New York,NY
10115,40.81085,-73.96374,New York,NY
10119,40.75064,-73.99273,New York,NY
10128,40.78151,-73.95018,New York,NY
10152,40.75872,-73.9718,New York,NY
10153,40.76362,-73.97244,New York,NY
10154,40.75778,-73.97249,New York,NY
10162,40.76936,-73.94986,New York,NY
10165,40.75213,-73.97872,New York,NY
10167,40.75465,-73.97477,New York,NY
10168,40.75145,-73.9771,New York,NY
10169,40.75467,-73.97643,New York,NY
10170,40.75263,-73.97588,New York,NY
10171,40.7559,-73.97386,New York,NY
10172,40.75527,-73.97431,New York,NY
10173,40.75379,-73.97961,New York,NY
10174,40.75144,-73.975,New York,NY
